idiom,pinyin,explanation
旷日持久,kuàng rì chí jiǔ,旷荒废，耽误。荒废时间，拖得很久。
不胫而走,bù jìng ér zǒu,胫小腿；走跑。没有腿却能跑。比喻事物无需推行，就已迅速地传播开去。
忍俊不禁,rěn jùn bù jìn,忍俊含笑；不禁无法控制自己。指忍不住要发笑。
成群结队,chéng qún jié duì,成成为，变成。一群群人集合在一起。
接连不断,jiē lián bù duàn,一个接着一个而不间断。
无稽之谈,wú jī zhī tán,无稽无法考查。没有根据的说法。
债台高筑,zhài tái gāo zhù,形容欠债很多。
因材施教,yīn cái shī jiào,因根据；材资质；施施加；教教育。指针对学习的人的志趣、能力等具体情况进行不同的教育。
居安思危,jū ān sī wēi,居处于；思想。虽然处在平安的环境里，也想到有出现危险的可能。指随时有应付意外事件的思想准备。
手忙脚乱,shǒu máng jiǎo luàn,形容遇事慌张，不知如何是好。
轻重缓急,qīng zhòng huǎn jí,指各种事情中有主要的和次要的，有急于要办的和可以慢一点办的。
应接不暇,yìng jiē bù xiá,暇空闲。原形容景物繁多，来不及观赏◇多形容来人或事情太多，应付不过来。
矢志不渝,shǐ zhì bù yú,表示永远不变心。
触手可及,chù shǒu kě jí,近在手边，一伸手就可以接触到。
发人深省,fā rén shēn xǐng,发启发；省醒悟。启发人深刻思考，有所醒悟。
破门而入,pò mén ér rù,砸开门进去。多指盗贼行为。
异曲同工,yì qǔ tóng gōng,工细致，巧妙；异不同的。不同的曲调演得同样好。比喻话的说法不一而用意相同，或一件事情的做法不同而都巧妙地达到目的。
自言自语,zì yán zì yǔ,自己一个人低声嘀咕。
左邻右舍,zuǒ lín yòu shè,左右的邻居。也比喻关系比较接近的其它单位。
乐在其中,lè zài qí zhōng,喜欢做某事，并在其中获得乐趣。
以身试法,yǐ shēn shì fǎ,身亲身，亲自；试尝试。试着亲身去做触犯法律的事。指明知故犯。
养家糊口,yǎng jiā hú kǒu,指勉强养活家人，使不饿肚。
众矢之的,zhòng shǐ zhī dì,矢箭；的箭靶的中心。众箭所射的靶子。比喻大家攻击的对象。
心平气和,xīn píng qì hé,心情平静，态度温和。指不急躁，不生气。
若隐若现,ruò yǐn ruò xiàn,隐隐约约，看不清楚。
繁荣富强,fán róng fù qiáng,形容各项事业蓬勃发展，日益富足强大。
哗众取宠,huá zhòng qǔ chǒng,以浮夸的言论迎合群众，骗取群众的信赖和支持。
纵横交错,zòng héng jiāo cuò,横的竖的交叉在一起。也形容情况复杂。
空穴来风,kōng xué lái fēng,穴孔、洞；来招致。有了洞穴才进风。比喻消息和谣言的传播不是完全没有原因的。也比喻流言乘机会传开来。
叫苦不迭,jiào kǔ bù dié,不迭不停止。形容连声叫苦。
因势利导,yīn shì lì dǎo,因顺着；势趋势；利导引导。顺着事情发展的趋势，加以引导。
德高望重,dé gāo wàng zhòng,德品德；望声望。道德高尚，名望很大。
舆论哗然,yú lùn huá rán,公众大表惊讶和不满。
有恃无恐,yǒu shì wú kǒng,恃倚仗，依靠；恐害怕。因为有所依杖而毫不害怕，或毫无顾忌。
人命关天,rén mìng guān tiān,关天比喻关系重大。指有关人命的事情关系及重大。
气势磅礴,qì shì páng bó,磅礴广大无边的样子。形容气势雄伟壮大。
昙花一现,tán huā yī xiàn,昙花即优昙钵花，开放时间很短。比喻美好的事物或景象出现了一下，很快就消失。
息事宁人,xī shì níng rén,息平息；宁使安定。原指不生事，不骚扰百姓，后指调解纠纷，使事情平息下来，使人们平安相处。
日日夜夜,rì rì yè yè,每天每夜。形容延续的时间长。
荡然无存,dàng rán wú cún,荡然完全空无。形容东西完全失去，一点没有留下。
欢欣鼓舞,huān xīn gǔ wǔ,欢欣欣喜；鼓舞振奋。形容高兴而振奋。
惊天动地,jīng tiān dòng dì,惊惊动；动震撼。使天地惊动。形容某个事件的声势或意义极大。
艰难险阻,jiān nán xiǎn zǔ,险阻危险和障碍。前进道路上的困难、危险和障碍。
险象环生,xiǎn xiàng huán shēng,危险的局面不断产生。
数一数二,shǔ yī shǔ èr,不算第一也算第二。形容突出。
切身体会,qiē shēn tǐ huì,指自身遇到的经验。
以假乱真,yǐ jiǎ luàn zhēn,以用；乱混乱。用假的东西去冒充或混杂真的东西。
风风雨雨,fēng fēng yǔ yǔ,不断地刮风下雨。比喻障碍重重。又比喻时代动荡，谣言纷传。
天寒地冻,tiān hán dì dòng,形容天气极为寒冷。
负债累累,fù zhai lèi lèi,形容负债甚多。
任劳任怨,rèn láo rèn yuàn,任担当，经受。不怕吃苦，也不怕招怨。
走投无路,zǒu tóu wú lù,投投奔。无路可走，已到绝境。比喻处境极困难，找不到出路。
令行禁止,lìng xíng jìn zhǐ,下令行动就立即行动，下令停止就立即停止。形容法令严正，执行认真。
重蹈覆辙,chóng dǎo fù zhé,蹈踏；覆翻；辙车轮辗过的痕迹。重新走上翻过车的老路。比喻不吸取教训，再走失败的老路。
无时无刻,wú shí wú kè,时时刻刻。表示毫不间断。
成家立业,chéng jiā lì yiè,指男的结了婚，有职业，能独立生活。
炎黄子孙,yán huáng zǐ sūn,炎黄炎帝神农氏和黄帝有熊氏，代表中华民族的祖先。炎帝和黄帝的后代。指中华民族的后代。亦作黄炎子孙”。
剑拔弩张,jiàn bá nǔ zhāng,张弓上弦。剑拔出来了，弓张开了。原形容书法笔力遒劲◇多形容气势逼人，或形势紧张，一触即发。
将心比心,jiāng xīn bǐ xīn,设身处地地为别人着想。
大手大脚,dà shǒu dà jiǎo,原指人手大，脚大◇多用来形容花钱、用东西不节省。
一览无余,yī lǎi wú yú,览看；余剩余。一眼看去，所有的景物全看见了。形容建筑物的结构没有曲折变化，或诗文内容平淡，没有回味。
为所欲为,wéi suǒ yù wéi,为做。本指做自己想做的事◇指想干什么就干什么。
名正言顺,míng zhèng yán shùn,名名分，名义；顺合理、顺当。原指名分正当，说话合理◇多指做某事名义正当，道理也说得通。
纸上谈兵,zhǐ shàng tán bīng,在纸面上谈论打仗。比喻空谈理论，不能解决实际问题。也比喻空谈不能成为现实。
川流不息,chuān liú bù xī,川河流。形容行人、车马等象水流一样连续不断。
夜深人静,yè shēn rén jìng,深夜没有人声，非常寂静。
美不胜收,měi bù shèng shōu,胜尽。美好的东西很多，一时看不过来。
善始善终,shàn shǐ shàn zhōng,做事情有好的开头，也有好的结尾。形容办事认真。
枝繁叶茂,zhī fán yè mào,枝叶繁密茂盛。
意料之外,yì liào zhī wài,没有想到的。
斩钉截铁,zhǎn dīng jié tiě,形容说话或行动坚决果断，毫不犹豫。
风云人物,fēng yún rén wù,指活跃一时，言论行为能影响大局的人物。
大有裨益,dà yǒu bì yì,裨益益处、好处。形容益处很大。
防微杜渐,fáng wēi dù jiàn,微微小；杜堵住；渐指事物的开端。比喻在坏事情坏思想萌芽的时候就加以制止，不让它发展。
无影无踪,wú yǐng wú zōng,踪踪迹。没有一点踪影。形容完全消失，不知去向。
举手之劳,jǔ shǒu zhī láo,一举手那样的辛劳。形容轻而易举，毫不费力。
中西合璧,zhōng xī hé bì,合璧圆形有孔的玉叫璧，半圆形的叫半璧，两个半璧合成一个圆叫合璧”。比喻中国和外国的好东西合到一块。
走马上任,zǒu mǎ shàng rèn,走马骑着马跑；任职务。旧指官吏到任。现比喻接任某项工作。
拍手称快,pāi shǒu chēng kuài,快痛快。拍掌叫好。多指正义得到伸张或事情的结局使人感到满意。
小心谨慎,xiǎo xīn jǐn shèn,形容言行慎重，不敢疏忽。
海纳百川,hǎi nà bǎi chuān,纳容纳，包容。大海可以容得下成百上千条江河之水。比喻包容的东西非常广泛，而且数量很大。
来历不明,lái lì bù míng,来历由来。人或事物的来历与经过不清楚。
汗流浃背,hàn liú jiā bèi,浃湿透」流得满背都是。形容非常恐惧或非肠怕。现也形容出汗很多，背上的衣服都湿透了。
七嘴八舌,qī zuǐ bā shé,形容人多口杂。
本末倒置,běn mò dào zhì,本树根；末树梢；置放。比喻把主次、轻重的位置弄颠倒了。
不顾一切,bù gù yī qiè,什么都不顾。
混淆视听,hùn xiáo shì tīng,混淆混杂。用假象或谎言让旁人分辨不清是非。
热血沸腾,rè xuè fèi téng,比喻激情高涨。
左右为难,zuǒ yòu wéi nán,左也不好，右也不是。形容无论怎样做都有难处。
风平浪静,fēng píng làng jìng,指没有风浪。比喻平静无事。
如履薄冰,rú lǚ bó bīng,履践、踩在上面。象走在薄冰上一样。比喻行事极为谨慎，存有戒心。
先天不足,xiān tiān bù zú,先天人或动物的胚胎时期。原指人或动物生下来体质就不好◇也指事物的根基差。
招摇撞骗,zhāo yáo zhuàng piàn,撞骗寻机骗人。假借名义，进行蒙骗欺诈。
解疑释惑,jiě yí shì huò,解解释；释消除。解答疑难问题，消除困惑情绪。
不速之客,bù sù zhī kè,速邀请。指没有邀请突然而来的客人。
心服口服,xīn fú kǒu fú,服信服。心里嘴上都信服。指真心信服。
东拼西凑,dōng pīn xī còu,比喻零乱地加以拼凑。
一落千丈,yī luò qiān zhàng,原指琴声陡然降落◇用来形容声誉、地位或经济状况急剧下降。
原原本本,yuán yuán běn běn,从头到尾按原来的样子。指详细叙述事情的全部起因和整个过程，一点不漏。
火上浇油,huǒ shàng jiāo yóu,往火上倒油。比喻使人更加愤怒或使情况更加严重。
就事论事,jiù shì lùn shì,按照事物本身的性质来评定是非得失。现常指仅从事物的表面现象孤立、静止、片面地议论。
没完没了,méi wán méi liǎo,无穷尽。
劳民伤财,láo mín shāng cái,既使人民劳苦，又耗费钱财。现也指滥用人力物力。
危言耸听,wēi yán sǒng tīng,危言使人吃惊的话；耸惊动；耸听使听话的人吃惊。指故意说些夸大的吓人的话，使人惊疑震动。
天马行空,tiān mǎ xíng kōng,天马神马。天马奔腾神速，象是腾起在空中飞行一样。比喻诗文气势豪放。也比喻人浮躁，不踏实。
煞费苦心,shà fèi kǔ xīn,煞委。形容费尽心思。
自欺欺人,zì qī qī rén,欺骗自己，也欺骗别人。
讳莫如深,huì mò rú shēn,讳隐讳；深事件重大。原意为事件重大，讳而不言◇指把事情隐瞒得很紧。
断章取义,duàn zhāng qǔ yì,断截断；章音乐一曲为一章。指不顾全篇文章或谈话的内容，孤立地取其中的一段或一句的意思。指引用与原意不符。
五彩缤纷,wǔ cǎi bīn fēn,五彩各种颜色；缤纷繁多交错的样子。指颜色繁多，非趁看。
进退两难,jǐn tuì liǎng nán,前进和后退都难。比喻事情无法决定，因而难以行动。
改过自新,gǎi guò zì xīn,自新自觉改正，重新做人。改正错误，重新做起。
一口咬定,yī kǒu yǎo dìng,一口咬住不放。比喻坚持一个廉洁，再不改口。
急于求成,jí yú qiú chéng,急急切。急着要取得成功。
严惩不贷,yán chéng bù dài,惩处罚；贷宽容。严厉惩罚，绝不宽恕。
疲惫不堪,pí bèi bù kān,疲惫极度疲乏；不堪不能忍受。形容非常疲乏。
百折不挠,bǎi zhé bù náo,折挫折；挠弯曲。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。
一家老小,yī jiā lǎo xiǎo,指全家人。
大显身手,dà xiǎn shēn shǒu,显表露，表现；身手指本领。充分显示出本领和才能。
头破血流,tóu pò xuè liú,头打破了，血流满面。多用来形容惨败。
浑水摸鱼,hún shuǐ mō yú,浑水不清的水。比喻乘混乱的时候从中捞取利益。
不容置疑,bù róng zhì yí,不允许有什么怀疑。表示论证严密，无可怀疑。
孜孜不倦,zī zī bù juàn,孜孜勤勉，不懈怠。指工作或学习勤奋不知疲倦。
长久之计,cháng jiǔ zhī jì,计计划，策略。长远的打算。
闻名遐迩,wén míng xiá ěr,遐远；迩近。形容名声很大，远近都知道。
千辛万苦,qiān xīn wàn kǔ,各种各样的艰难困苦。
指手画脚,zhǐ shǒu huà jiǎo,指说话时做出各种动作。形容说话时放肆或得意忘形。
赫赫有名,hè hè yǒu míng,赫赫显著盛大的样子。声名非常显赫。
灭顶之灾,miè dǐng zhī zāi,灭顶水漫过头顶。指被水淹死。比喻毁灭性的灾难。
如影随形,rú yǐng suí xíng,好象影子总是跟着身体一样。比喻两个人关系亲密，常在一起。
风调雨顺,fēng tiáo yǔ shùn,调调和；顺和协。风雨及时适宜。形容风雨适合农时。
无所作为,wú suǒ zuò wéi,作为作出成绩。没有做出任何成绩。指工作中安于现状，缺乏创造性。
茶余饭后,chá yú fàn hòu,泛指休息或空闲的时候。
